gu_std,year,area_band,jeonse_price,jeonse_count,sale_price,sale_count,jeonse_ratio_pct,risk_band
관악구,2025,84㎡,54500.0,1277,91000.0,842,59.89010989010989,안정(<60)
영등포구,2023,33㎡,24150.0,151,40350.0,24,59.85130111524164,안정(<60)
금천구,2025,59㎡,33000.0,600,55250.0,362,59.72850678733032,안정(<60)
성북구,2023,59㎡,40000.0,2628,67200.0,863,59.523809523809526,안정(<60)
구로구,2022,59㎡,34000.0,1655,57200.0,186,59.44055944055944,안정(<60)
구로구,2021,기타,26000.0,1721,43800.0,1140,59.3607305936073,안정(<60)
관악구,2026,33㎡,26250.0,9,44250.0,5,59.32203389830508,안정(<60)
강북구,2025,59㎡,37250.0,431,63000.0,472,59.12698412698413,안정(<60)
동대문구,2021,33㎡,24500.0,106,41500.0,39,59.036144578313255,안정(<60)
중랑구,2021,84㎡,45000.0,935,76500.0,545,58.82352941176471,안정(<60)
관악구,2023,84㎡,48000.0,1254,81600.0,343,58.82352941176471,안정(<60)
노원구,2025,84㎡,48000.0,2039,81700.0,1165,58.7515299877601,안정(<60)
종로구,2022,84㎡,70500.0,272,120000.0,27,58.75,안정(<60)
강북구,2021,84㎡,45000.0,594,76700.0,351,58.670143415906125,안정(<60)
성북구,2025,59㎡,44936.5,2354,77000.0,1950,58.3590909090909,안정(<60)
금천구,2024,59㎡,33840.0,584,58000.0,297,58.34482758620689,안정(<60)
동대문구,2025,기타,46000.0,1422,78850.0,1216,58.33861762840837,안정(<60)
서대문구,2025,33㎡,28000.0,73,48000.0,31,58.333333333333336,안정(<60)
강서구,2022,기타,26250.0,3878,45000.0,345,58.333333333333336,안정(<60)
서대문구,2024,84㎡,63000.0,1813,108000.0,957,58.333333333333336,안정(<60)
성북구,2025,84㎡,53000.0,2229,90900.0,1685,58.3058305830583,안정(<60)
구로구,2024,84㎡,45147.0,1601,77500.0,750,58.2541935483871,안정(<60)
양천구,2024,84㎡,60000.0,2001,103000.0,840,58.252427184466015,안정(<60)
송파구,2025,33㎡,37551.0,162,64500.0,51,58.218604651162785,안정(<60)
은평구,2026,59㎡,48300.0,182,83000.0,116,58.192771084337345,안정(<60)
도봉구,2022,84㎡,37800.0,1138,65000.0,117,58.15384615384615,안정(<60)
도봉구,2026,기타,25000.0,191,43000.0,121,58.139534883720934,안정(<60)
관악구,2022,59㎡,40950.0,1382,70500.0,98,58.08510638297872,안정(<60)
동작구,2023,기타,55112.5,1528,95000.0,360,58.01315789473684,안정(<60)
중랑구,2022,84㎡,43500.0,1083,75000.0,93,57.99999999999999,안정(<60)
구로구,2021,33㎡,13625.0,84,23500.0,67,57.97872340425532,안정(<60)
동대문구,2025,59㎡,48000.0,2018,83000.0,1253,57.831325301204814,안정(<60)
성북구,2022,84㎡,51450.0,2018,89000.0,185,57.80898876404494,안정(<60)
노원구,2022,84㎡,46200.0,2119,80000.0,144,57.75,안정(<60)
중랑구,2021,59㎡,34650.0,546,60000.0,379,57.75,안정(<60)
서대문구,2024,59㎡,46000.0,1502,80000.0,761,57.49999999999999,안정(<60)
은평구,2026,84㎡,55000.0,302,95850.0,138,57.381324986958795,안정(<60)
구로구,2025,기타,31500.0,1742,55000.0,1208,57.27272727272727,안정(<60)
금천구,2022,59㎡,34000.0,643,59400.0,66,57.23905723905723,안정(<60)
구로구,2026,기타,36000.0,256,63000.0,104,57.14285714285714,안정(<60)
구로구,2024,기타,30000.0,1863,52500.0,761,57.14285714285714,안정(<60)
동대문구,2023,59㎡,40000.0,1488,70000.0,479,57.14285714285714,안정(<60)
구로구,2022,84㎡,45000.0,1691,78800.0,129,57.10659898477157,안정(<60)
강북구,2022,84㎡,44100.0,666,77500.0,76,56.903225806451616,안정(<60)
노원구,2023,84㎡,44100.0,2463,77500.0,480,56.903225806451616,안정(<60)
영등포구,2022,33㎡,23000.0,106,40450.0,14,56.86032138442522,안정(<60)
동대문구,2022,84㎡,54000.0,1561,95000.0,172,56.84210526315789,안정(<60)
강북구,2023,59㎡,33000.0,532,58150.0,224,56.749785038693034,안정(<60)
구로구,2024,59㎡,35000.0,1645,61800.0,749,56.63430420711975,안정(<60)
동대문구,2021,84㎡,52000.0,1090,92000.0,499,56.52173913043478,안정(<60)
동대문구,2022,33㎡,25000.0,80,44250.0,14,56.49717514124294,안정(<60)
은평구,2024,84㎡,48000.0,2417,85000.0,778,56.470588235294116,안정(<60)
은평구,2025,84㎡,51000.0,2349,90500.0,1084,56.353591160220994,안정(<60)
서대문구,2023,84㎡,55000.0,2085,97600.0,517,56.35245901639344,안정(<60)
성북구,2026,59㎡,47250.0,223,84000.0,139,56.25,안정(<60)
은평구,2025,59㎡,45000.0,1790,80000.0,1074,56.25,안정(<60)
