자치구,연도,면적구간,평균 전세,평균 월세보증금,평균 월세,거래건수,gu_std,year,avg_jeonse,avg_monthly_rent,tx_count,area_band
강남구,2023,59,59243,23179,120,8620,강남구,2023,59243,120,8620,59㎡
강남구,2023,84,87107,45665,209,10902,강남구,2023,87107,209,10902,84㎡
강남구,2023,기타,133026,70135,291,5540,강남구,2023,133026,291,5540,기타
강동구,2023,33,19028,5880,28,3718,강동구,2023,19028,28,3718,33㎡
강동구,2023,59,37381,14876,61,8152,강동구,2023,37381,61,8152,59㎡
강동구,2023,84,54070,28502,122,6261,강동구,2023,54070,122,6261,84㎡
강동구,2023,기타,59110,35334,137,1165,강동구,2023,59110,137,1165,기타
강북구,2023,33,13103,2624,43,839,강북구,2023,13103,43,839,33㎡
강북구,2023,59,29683,9703,65,1223,강북구,2023,29683,65,1223,59㎡
강북구,2023,84,40318,14163,101,1203,강북구,2023,40318,101,1203,84㎡
강북구,2023,기타,46465,17611,119,224,강북구,2023,46465,119,224,기타
강서구,2023,33,19666,5547,43,3804,강서구,2023,19666,43,3804,33㎡
강서구,2023,59,34732,11078,57,6160,강서구,2023,34732,57,6160,59㎡
강서구,2023,84,48714,22228,108,4725,강서구,2023,48714,108,4725,84㎡
강서구,2023,기타,63638,32661,124,1030,강서구,2023,63638,124,1030,기타
관악구,2023,33,15055,3835,44,1796,관악구,2023,15055,44,1796,33㎡
관악구,2023,59,37086,14506,81,2706,관악구,2023,37086,81,2706,59㎡
관악구,2023,84,47169,19851,103,1939,관악구,2023,47169,103,1939,84㎡
관악구,2023,기타,56373,23076,122,656,관악구,2023,56373,122,656,기타
광진구,2023,33,18095,4976,49,544,광진구,2023,18095,49,544,33㎡
광진구,2023,59,47512,20205,99,1803,광진구,2023,47512,99,1803,59㎡
광진구,2023,84,63305,30505,133,2451,광진구,2023,63305,133,2451,84㎡
광진구,2023,기타,97350,41995,244,600,광진구,2023,97350,244,600,기타
구로구,2023,33,15190,4884,23,2422,구로구,2023,15190,23,2422,33㎡
구로구,2023,59,28894,11041,49,4910,구로구,2023,28894,49,4910,59㎡
구로구,2023,84,40852,19188,86,3344,구로구,2023,40852,86,3344,84㎡
구로구,2023,기타,50299,27512,141,736,구로구,2023,50299,141,736,기타
금천구,2023,33,14509,4293,33,952,금천구,2023,14509,33,952,33㎡
금천구,2023,59,29875,15490,60,2158,금천구,2023,29875,60,2158,59㎡
금천구,2023,84,42752,20320,80,1304,금천구,2023,42752,80,1304,84㎡
금천구,2023,기타,45230,15100,118,188,금천구,2023,45230,118,188,기타
노원구,2023,33,15547,2861,44,2941,노원구,2023,15547,44,2941,33㎡
노원구,2023,59,23929,5879,63,12484,노원구,2023,23929,63,12484,59㎡
노원구,2023,84,43323,17096,94,4177,노원구,2023,43323,94,4177,84㎡
노원구,2023,기타,58225,25960,120,899,노원구,2023,58225,120,899,기타
도봉구,2023,33,14118,2317,49,888,도봉구,2023,14118,49,888,33㎡
도봉구,2023,59,23008,5368,63,3013,도봉구,2023,23008,63,3013,59㎡
도봉구,2023,84,34712,10744,90,2286,도봉구,2023,34712,90,2286,84㎡
도봉구,2023,기타,49689,21178,117,322,도봉구,2023,49689,117,322,기타
동대문구,2023,33,20014,5155,46,1842,동대문구,2023,20014,46,1842,33㎡
동대문구,2023,59,40918,14918,93,2672,동대문구,2023,40918,93,2672,59㎡
동대문구,2023,84,51607,18782,140,3414,동대문구,2023,51607,140,3414,84㎡
동대문구,2023,기타,55506,19261,128,788,동대문구,2023,55506,128,788,기타
동작구,2023,33,17269,3845,42,812,동작구,2023,17269,42,812,33㎡
동작구,2023,59,45475,19587,86,3345,동작구,2023,45475,86,3345,59㎡
동작구,2023,84,62005,28148,121,4352,동작구,2023,62005,121,4352,84㎡
동작구,2023,기타,70979,34239,138,1219,동작구,2023,70979,138,1219,기타
마포구,2023,33,23235,6905,38,2504,마포구,2023,23235,38,2504,33㎡
마포구,2023,59,45829,15922,98,5561,마포구,2023,45829,98,5561,59㎡
마포구,2023,84,66118,27135,165,4547,마포구,2023,66118,165,4547,84㎡
마포구,2023,기타,89398,37133,226,1249,마포구,2023,89398,226,1249,기타
서대문구,2023,33,20073,5477,43,1230,서대문구,2023,20073,43,1230,33㎡
서대문구,2023,59,40794,14614,93,2992,서대문구,2023,40794,93,2992,59㎡
서대문구,2023,84,53288,22142,125,3264,서대문구,2023,53288,125,3264,84㎡
서대문구,2023,기타,67275,27477,154,614,서대문구,2023,67275,154,614,기타
서초구,2023,33,29393,6517,62,1449,서초구,2023,29393,62,1449,33㎡
서초구,2023,59,57366,24620,107,5868,서초구,2023,57366,107,5868,59㎡
서초구,2023,84,90332,47296,213,7392,서초구,2023,90332,213,7392,84㎡
서초구,2023,기타,135805,68908,305,4023,서초구,2023,135805,305,4023,기타
성동구,2023,33,18901,5519,58,665,성동구,2023,18901,58,665,33㎡
성동구,2023,59,51331,19109,149,4497,성동구,2023,51331,149,4497,59㎡
성동구,2023,84,65495,28122,183,4586,성동구,2023,65495,183,4586,84㎡
성동구,2023,기타,94679,45225,328,1384,성동구,2023,94679,328,1384,기타
성북구,2023,33,13906,4823,31,1242,성북구,2023,13906,31,1242,33㎡
성북구,2023,59,38634,12434,88,4659,성북구,2023,38634,88,4659,59㎡
성북구,2023,84,48786,19691,111,3552,성북구,2023,48786,111,3552,84㎡
성북구,2023,기타,58100,25922,128,924,성북구,2023,58100,128,924,기타
송파구,2023,33,33072,9750,43,3347,송파구,2023,33072,43,3347,33㎡
송파구,2023,59,47729,18444,83,6522,송파구,2023,47729,83,6522,59㎡
송파구,2023,84,67059,35575,161,11149,송파구,2023,67059,161,11149,84㎡
송파구,2023,기타,91380,49284,192,3467,송파구,2023,91380,192,3467,기타
양천구,2023,33,7964,4540,21,998,양천구,2023,7964,21,998,33㎡
양천구,2023,59,35226,12624,71,5465,양천구,2023,35226,71,5465,59㎡
양천구,2023,84,55058,30269,110,4745,양천구,2023,55058,110,4745,84㎡
양천구,2023,기타,85791,59793,146,1625,양천구,2023,85791,146,1625,기타
영등포구,2023,33,23571,5945,46,1751,영등포구,2023,23571,46,1751,33㎡
영등포구,2023,59,40885,15827,83,4034,영등포구,2023,40885,83,4034,59㎡
영등포구,2023,84,53873,26890,116,4237,영등포구,2023,53873,116,4237,84㎡
영등포구,2023,기타,83907,63908,186,1401,영등포구,2023,83907,186,1401,기타
용산구,2023,33,22876,6951,37,543,용산구,2023,22876,37,543,33㎡
용산구,2023,59,46142,17471,114,2204,용산구,2023,46142,114,2204,59㎡
용산구,2023,84,62675,22688,181,1944,용산구,2023,62675,181,1944,84㎡
용산구,2023,기타,110458,39881,434,2046,용산구,2023,110458,434,2046,기타
은평구,2023,33,18515,6208,33,1965,은평구,2023,18515,33,1965,33㎡
은평구,2023,59,37848,11406,68,3967,은평구,2023,37848,68,3967,59㎡
은평구,2023,84,45457,19875,116,3755,은평구,2023,45457,116,3755,84㎡
은평구,2023,기타,56497,24188,132,712,은평구,2023,56497,132,712,기타
종로구,2023,33,25204,8844,58,537,종로구,2023,25204,58,537,33㎡
종로구,2023,59,43818,14008,112,686,종로구,2023,43818,112,686,59㎡
종로구,2023,84,72256,30594,159,878,종로구,2023,72256,159,878,84㎡
종로구,2023,기타,91944,44247,238,316,종로구,2023,91944,238,316,기타
중구,2023,33,24629,4494,66,1321,중구,2023,24629,66,1321,33㎡
중구,2023,59,48325,13821,133,1519,중구,2023,48325,133,1519,59㎡
중구,2023,84,63201,21346,154,1235,중구,2023,63201,154,1235,84㎡
중구,2023,기타,86455,29433,245,563,중구,2023,86455,245,563,기타
중랑구,2023,33,18549,5013,39,1974,중랑구,2023,18549,39,1974,33㎡
중랑구,2023,59,31475,10925,54,2251,중랑구,2023,31475,54,2251,59㎡
중랑구,2023,84,44051,18107,92,2231,중랑구,2023,44051,92,2231,84㎡
중랑구,2023,기타,53340,25194,128,431,중랑구,2023,53340,128,431,기타
강남구,2024,33,34717,8329,74,3623,강남구,2024,34717,74,3623,33㎡
강남구,2024,59,62558,24468,140,6406,강남구,2024,62558,140,6406,59㎡
강남구,2024,84,94131,48012,224,8089,강남구,2024,94131,224,8089,84㎡
강남구,2024,기타,141339,73268,314,4651,강남구,2024,141339,314,4651,기타
강동구,2024,33,27903,6132,39,2652,강동구,2024,27903,39,2652,33㎡
강동구,2024,59,46165,17547,84,6286,강동구,2024,46165,84,6286,59㎡
강동구,2024,84,60723,29347,142,6191,강동구,2024,60723,142,6191,84㎡
강동구,2024,기타,73696,37198,166,1238,강동구,2024,73696,166,1238,기타
강북구,2024,33,14992,2397,50,903,강북구,2024,14992,50,903,33㎡
강북구,2024,59,33459,10309,81,1130,강북구,2024,33459,81,1130,59㎡
강북구,2024,84,43363,15526,109,998,강북구,2024,43363,109,998,84㎡
강북구,2024,기타,52999,15323,143,188,강북구,2024,52999,143,188,기타
강서구,2024,33,21568,5731,43,3482,강서구,2024,21568,43,3482,33㎡
강서구,2024,59,34062,12003,56,6840,강서구,2024,34062,56,6840,59㎡
강서구,2024,84,51423,25945,111,4334,강서구,2024,51423,111,4334,84㎡
강서구,2024,기타,69490,33958,144,908,강서구,2024,69490,144,908,기타
관악구,2024,33,17758,4613,49,1870,관악구,2024,17758,49,1870,33㎡
관악구,2024,59,41804,16081,83,2634,관악구,2024,41804,83,2634,59㎡
관악구,2024,84,51322,22099,108,1757,관악구,2024,51322,108,1757,84㎡
관악구,2024,기타,58681,25958,117,545,관악구,2024,58681,117,545,기타
광진구,2024,33,17892,6426,53,553,광진구,2024,17892,53,553,33㎡
광진구,2024,59,51515,21896,110,1333,광진구,2024,51515,110,1333,59㎡
광진구,2024,84,69284,32664,142,2043,광진구,2024,69284,142,2043,84㎡
광진구,2024,기타,107648,48868,264,524,광진구,2024,107648,264,524,기타
구로구,2024,33,16488,4930,32,2164,구로구,2024,16488,32,2164,33㎡
구로구,2024,59,32371,12754,57,4524,구로구,2024,32371,57,4524,59㎡
구로구,2024,84,45085,21709,75,3392,구로구,2024,45085,75,3392,84㎡
구로구,2024,기타,56804,30762,140,506,구로구,2024,56804,140,506,기타
금천구,2024,33,15998,4017,45,652,금천구,2024,15998,45,652,33㎡
금천구,2024,59,32526,11874,70,1338,금천구,2024,32526,70,1338,59㎡
금천구,2024,84,45279,16871,98,845,금천구,2024,45279,98,845,84㎡
금천구,2024,기타,47299,19650,110,174,금천구,2024,47299,110,174,기타
노원구,2024,33,16432,2431,42,3215,노원구,2024,16432,42,3215,33㎡
노원구,2024,59,25220,5950,67,11189,노원구,2024,25220,67,11189,59㎡
노원구,2024,84,47033,17375,96,3535,노원구,2024,47033,96,3535,84㎡
노원구,2024,기타,62412,30165,123,740,노원구,2024,62412,123,740,기타
도봉구,2024,33,15242,3504,44,1006,도봉구,2024,15242,44,1006,33㎡
도봉구,2024,59,24463,5880,65,2811,도봉구,2024,24463,65,2811,59㎡
도봉구,2024,84,37335,12422,89,1966,도봉구,2024,37335,89,1966,84㎡
도봉구,2024,기타,54525,19520,124,256,도봉구,2024,54525,124,256,기타
동대문구,2024,33,20177,5807,47,2106,동대문구,2024,20177,47,2106,33㎡
동대문구,2024,59,46954,16125,92,2849,동대문구,2024,46954,92,2849,59㎡
동대문구,2024,84,56268,21338,141,2837,동대문구,2024,56268,141,2837,84㎡
동대문구,2024,기타,58590,24236,130,666,동대문구,2024,58590,130,666,기타
동작구,2024,33,15843,6388,41,1308,동작구,2024,15843,41,1308,33㎡
동작구,2024,59,51039,21533,99,2932,동작구,2024,51039,99,2932,59㎡
