순번,자치구,구역명,위치,Unnamed: 4,사업방법,Unnamed: 6,Unnamed: 7,사업추진단계,기존 가구수(멸실량),추진단계,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,공급형태별 건립세대수 (공급량),Unnamed: 23,Unnamed: 24,gu_std
,,,,,,,,,,,,,,,,,,,,,,총합계,분양,임대,
,,,,,,,,,,"구역지정
(아파트 지구는 정비계획 수립)",,추진위원회,"조합설립인가
(사업시행자 지정일)",건축심의,사업시행인가,,"관리처분
계획인가",,이주,,착공,,,,
,,,위치1(지번주소),위치2(도로명주소),공공/민간,일반/재촉지구,사업유형,,,최초,변경(최종),,,,최초,변경(최종),최초,변경(최종),이주시작일,이주종료일,,,,,
387.0,서초구,신반포4차,잠원동 70,서초구 잠원로 37-48,민간,일반,아파트지구 재건축,조합설립,1212.0,2023-09-21,2024-08-22,2003-11-24,2019-12-31,,,,,,,,,1828,1543,285,서초구
388.0,서초구,신반포7차,잠원동 65-32,잠원로 88,공공,일반,아파트지구 재건축,조합설립,320.0,,,,2002-12-24,,,,,,,,,857,652,205,서초구
389.0,서초구,신반포궁전,반포동 65-1,서초구 사평대로 142,민간,일반,공동주택 재건축,조합설립,108.0,2014-08-21,,2015-05-07,2025-11-21,,,,,,,,,249,208,41,서초구
390.0,서초구,강남원효성빌라,반포동 591-1 외5,서초구 사평대로 20길76,민간,일반,공동주택 재건축,조합설립,103.0,2021-01-21,2021-01-21,2022-01-06,2022-12-19,,,,,,,,,103,103,0,서초구
391.0,서초구,반포미도1차,반포동 60-4,서초구 서초중앙로29길 28,민간,일반,공동주택 재건축,조합설립,1260.0,2024-04-25,,2025-01-24,2025-09-30,,,,,,,,,1739,1531,208,서초구
392.0,서초구,방배15구역,방배동 528-3,서초구 청두곶8길 16-9,민간,일반,단독주택 재건축,건축심의,1619.0,2022-09-08,2022-09-08,2023-04-06,2023-12-19,2025-09-30,,,,,,,,1688,1378,310,서초구
393.0,서초구,방배임광3차,방배동 1010-1 외 1,서초구 방배로2길 24-5,민간,일반,공동주택 재건축,구역지정,316.0,2025-07-17,,,,,,,,,,,,379,332,47,서초구
394.0,서초구,서초진흥아파트,서초동 1315,서초구 서초대로 385,민간,일반,아파트지구 재건축,조합설립,615.0,2025-01-23,,2004-05-13,2020-03-12,,,,,,,,,857,763,94,서초구
395.0,강남구,도곡개포한신,도곡동 464,언주로 123 ,민간,일반,공동주택 재건축,관리처분,620.0,2017-03-16,2017-03-16,2003-11-14,2017-11-24,2020-07-28,2022-12-28,,2025-12-19,,,,,816,705,111,강남구
396.0,강남구,도곡삼익,도곡동 869,논현로 218 ,민간,일반,공동주택 재건축,추진위,273.0,2012-06-21,2012-06-21,2003-12-29,,,,,,,,,,369,318,51,강남구
