gu,year,area_pyeong_bucket,deposit_price_krw,monthly_rent_krw,rent_area_m2,rent_build_year,rent_txn_count,monthly_rent_active_krw,monthly_rent_positive_ratio,sale_price_krw,sale_area_m2,sale_build_year,sale_txn_count
강서구,2021,33.0,550000000.0,0.0,108.35,1993.0,21.0,550000.0,1.0,800000000.0,110.26,1992.0,1.0
강서구,2021,34.0,567000000.0,0.0,112.83,2003.0,13.0,530000.0,1.0,695000000.0,112.6932,2004.0,9.0
강서구,2021,35.0,690000000.0,0.0,114.91,2014.0,209.0,1200000.0,1.0,1450000000.0,114.91,2014.0,75.0
강서구,2021,36.0,610000000.0,0.0,119.9031,2004.0,26.0,1175000.0,1.0,1010000000.0,119.63,2004.0,18.0
강서구,2021,37.0,450000000.0,0.0,123.72,1995.0,27.0,1000000.0,1.0,1122100000.0,123.72,1995.0,10.0
강서구,2021,38.0,722250000.0,0.0,126.65,2005.0,48.0,1000000.0,1.0,1248000000.0,125.021,2005.0,19.0
강서구,2021,39.0,729500000.0,0.0,128.81,2015.0,68.0,1250000.0,1.0,1602500000.0,128.81,2015.0,14.0
강서구,2021,40.0,525000000.0,0.0,131.4,1993.0,35.0,1500000.0,1.0,1330000000.0,131.4,1993.0,11.0
강서구,2021,41.0,514500000.0,0.0,134.88,1994.0,90.0,1000000.0,1.0,1350000000.0,134.88,1994.0,35.0
강서구,2021,42.0,605000000.0,0.0,139.3725,2006.5,2.0,,,1037500000.0,138.86,2010.0,2.0
강서구,2021,43.0,700000000.0,0.0,142.42,2001.0,1.0,,,1410000000.0,142.42,2001.0,1.0
강서구,2021,44.0,625000000.0,0.0,144.123,2002.0,20.0,,,1315000000.0,144.123,2002.0,7.0
강서구,2021,45.0,593250000.0,0.0,156.876,2003.0,74.0,1150000.0,1.0,1475000000.0,156.876,2002.5,32.0
관악구,2021,10.0,30000000.0,160000.0,20.44,2013.0,878.0,450000.0,1.0,147500000.0,14.38,2013.0,164.0
관악구,2021,11.0,30240000.0,55000.0,34.86,1993.0,122.0,615000.0,1.0,495000000.0,34.86,1993.0,37.0
관악구,2021,12.0,49600000.0,125000.0,39.82,2000.0,150.0,180000.0,1.0,475000000.0,38.675,2021.0,22.0
관악구,2021,13.0,230000000.0,0.0,43.92,1988.0,16.0,400000.0,1.0,367000000.0,43.92,1997.0,15.0
관악구,2021,14.0,362500000.0,0.0,47.54,2019.0,32.0,500000.0,1.0,300000000.0,47.61,1971.0,13.0
관악구,2021,15.0,260000000.0,0.0,49.95,2000.0,90.0,500000.0,1.0,510000000.0,49.95,1998.5,18.0
관악구,2021,16.0,320000000.0,0.0,52.58,2002.0,15.0,450000.0,1.0,570000000.0,52.58,2016.0,9.0
관악구,2021,17.0,215000000.0,0.0,56.39,1985.0,58.0,600000.0,1.0,599000000.0,56.45,2021.0,33.0
관악구,2021,18.0,350000000.0,0.0,59.87,2003.0,1479.0,800000.0,1.0,782500000.0,59.85,2003.0,458.0
관악구,2021,19.0,195000000.0,225000.0,61.74,1996.5,8.0,350000.0,1.0,732500000.0,61.74,1988.0,6.0
관악구,2021,20.0,240000000.0,0.0,66.39,2004.0,19.0,750000.0,1.0,587000000.0,66.735,2003.5,6.0
관악구,2021,21.0,350000000.0,0.0,68.8,1992.0,83.0,600000.0,1.0,850000000.0,68.8,1992.0,29.0
관악구,2021,22.0,240000000.0,0.0,71.9,2003.0,61.0,900000.0,1.0,700000000.0,72.687,2007.5,38.0
관악구,2021,23.0,332500000.0,0.0,75.87,2003.0,30.0,660000.0,1.0,720000000.0,74.985,2003.0,16.0
관악구,2021,24.0,399500000.0,0.0,79.274994,2003.0,32.0,1050000.0,1.0,637500000.0,79.28,2003.0,18.0
관악구,2021,25.0,384000000.0,0.0,83.21,2000.0,188.0,900000.0,1.0,725000000.0,83.21,2000.5,100.0
관악구,2021,26.0,472500000.0,0.0,84.93,2004.0,1153.0,905000.0,1.0,930000000.0,84.87,2004.0,331.0
관악구,2021,27.0,530000000.0,0.0,89.14,2002.0,5.0,200000.0,1.0,685000000.0,89.2405,2003.5,2.0
관악구,2021,28.0,304500000.0,0.0,91.24,1982.0,22.0,950000.0,1.0,715000000.0,91.41,2004.0,1.0
관악구,2021,29.0,455000000.0,0.0,96.525,2004.0,6.0,,,635000000.0,96.65,2002.0,1.0
관악구,2021,30.0,450000000.0,0.0,99.51,2005.0,7.0,1175000.0,1.0,800000000.0,99.51,2004.0,7.0
관악구,2021,31.0,500000000.0,0.0,101.95,2003.0,42.0,700000.0,1.0,1050000000.0,101.95,2003.0,13.0
관악구,2021,32.0,470000000.0,0.0,105.84,1993.0,45.0,800000.0,1.0,905000000.0,105.36,1993.0,14.0
관악구,2021,33.0,350000000.0,510000.0,107.7,2003.0,7.0,630000.0,1.0,1100000000.0,107.7,1999.0,1.0
관악구,2021,34.0,500000000.0,0.0,113.31,2000.0,44.0,600000.0,1.0,790000000.0,113.31,2000.0,19.0
관악구,2021,35.0,535000000.0,0.0,114.84,2003.0,257.0,1000000.0,1.0,1080000000.0,114.79,2003.0,91.0
관악구,2021,36.0,399500000.0,0.0,119.49,1993.0,24.0,1000000.0,1.0,1050000000.0,119.49,1993.0,5.0
관악구,2021,37.0,560500000.0,0.0,123.29,1992.0,8.0,1100000.0,1.0,1210000000.0,123.29,1992.0,6.0
관악구,2021,38.0,325000000.0,1000000.0,124.979996,2004.0,2.0,2000000.0,1.0,765000000.0,125.42,2003.0,1.0
관악구,2021,39.0,,,,,,,,1200000000.0,130.18,2007.0,1.0
관악구,2021,40.0,470000000.0,0.0,130.67,1995.0,7.0,800000.0,1.0,1130000000.0,132.36,2002.0,1.0
관악구,2021,41.0,650000000.0,0.0,136.11,1988.0,7.0,300000.0,1.0,945000000.0,136.11,1988.0,4.0
관악구,2021,42.0,600000000.0,0.0,138.64,2005.0,13.0,675000.0,1.0,1250000000.0,138.74,2005.0,7.0
관악구,2021,43.0,650000000.0,0.0,142.47,2000.0,1.0,,,,,,
관악구,2021,45.0,500000000.0,1200000.0,170.11,1997.0,3.0,1950000.0,1.0,1549500000.0,170.11,1997.0,2.0
광진구,2021,10.0,58560000.0,355000.0,15.63,2015.0,242.0,600000.0,1.0,145000000.0,15.69,2014.0,51.0
광진구,2021,12.0,550000000.0,0.0,40.2751,2021.0,109.0,1350000.0,1.0,578500000.0,40.2751,2021.0,2.0
광진구,2021,13.0,350000000.0,0.0,42.97,2014.0,3.0,,,402500000.0,43.485,2009.0,2.0
광진구,2021,14.0,75000000.0,200000.0,46.52,2005.0,8.0,900000.0,1.0,482500000.0,46.785,2005.0,2.0
광진구,2021,15.0,125000000.0,100000.0,48.55,1986.5,14.0,600000.0,1.0,480000000.0,48.46,1976.0,7.0
광진구,2021,16.0,330750000.0,0.0,51.57,1989.0,81.0,700000.0,1.0,950000000.0,51.57,1988.0,11.0
광진구,2021,17.0,250000000.0,0.0,55.9,1976.0,30.0,700000.0,1.0,597500000.0,55.87,1976.0,24.0
광진구,2021,18.0,440000000.0,0.0,59.9,1997.0,796.0,950000.0,1.0,1109500000.0,59.94,1998.0,178.0
광진구,2021,19.0,364000000.0,0.0,63.05,2003.0,8.0,800000.0,1.0,848000000.0,62.045,2002.5,6.0
광진구,2021,20.0,430000000.0,0.0,65.47,1989.0,60.0,550000.0,1.0,845000000.0,64.845,1997.5,16.0
광진구,2021,21.0,442875000.0,0.0,69.06,1989.0,32.0,600000.0,1.0,1048500000.0,69.06,1989.0,12.0
광진구,2021,22.0,471250000.0,0.0,72.34,1989.0,50.0,700000.0,1.0,790000000.0,72.69,1999.0,9.0
광진구,2021,23.0,475000000.0,0.0,75.55,1989.0,92.0,1000000.0,1.0,1400000000.0,75.55,1990.0,17.0
광진구,2021,24.0,500000000.0,0.0,79.75,1989.0,85.0,700000.0,1.0,1275000000.0,79.75,2002.0,20.0
광진구,2021,25.0,472500000.0,0.0,83.405,1995.0,118.0,1100000.0,1.0,1065000000.0,83.185,2001.0,26.0
광진구,2021,26.0,577500000.0,0.0,84.9,1996.0,1195.0,1000000.0,1.0,1445000000.0,84.9,1997.0,241.0
광진구,2021,27.0,609000000.0,0.0,89.81,2002.0,1.0,,,,,,
광진구,2021,28.0,875000000.0,0.0,92.4,1987.0,12.0,2800000.0,1.0,1300000000.0,92.41,1987.0,2.0
광진구,2021,29.0,840000000.0,0.0,96.98,2007.0,18.0,2330000.0,1.0,1700000000.0,96.98,2007.0,9.0
광진구,2021,30.0,800000000.0,0.0,100.32,2007.0,33.0,2800000.0,1.0,1650000000.0,100.32,2007.0,6.0
광진구,2021,31.0,598250000.0,0.0,102.87,2017.0,8.0,1600000.0,1.0,1990000000.0,102.61,1989.0,3.0
광진구,2021,32.0,495000000.0,0.0,107.104996,1991.0,12.0,1150000.0,1.0,1335000000.0,107.31,1983.0,1.0
광진구,2021,33.0,383250000.0,0.0,108.43,1983.0,24.0,900000.0,1.0,1495000000.0,109.03,2002.0,6.0
광진구,2021,34.0,500000000.0,0.0,112.77,1999.0,7.0,1950000.0,1.0,1330000000.0,114.0,2006.0,3.0
광진구,2021,35.0,757000000.0,0.0,114.975006,1999.0,26.0,600000.0,1.0,1430000000.0,114.28,1999.0,5.0
광진구,2021,36.0,924000000.0,0.0,119.41,2007.0,29.0,2600000.0,1.0,1630000000.0,119.41,2007.0,5.0
광진구,2021,37.0,670000000.0,0.0,122.69,2007.0,7.0,2700000.0,1.0,1940000000.0,122.62,2008.0,2.0
광진구,2021,38.0,735000000.0,0.0,126.94,1985.0,45.0,1100000.0,1.0,1945000000.0,126.66,1997.0,14.0
광진구,2021,39.0,1059000000.0,0.0,128.39,2008.5,36.0,2175000.0,1.0,1950000000.0,128.39,2009.0,9.0
광진구,2021,40.0,850000000.0,0.0,132.0263,2004.0,21.0,1600000.0,1.0,1230000000.0,132.05316,2005.0,10.0
광진구,2021,41.0,818750000.0,0.0,135.61,2007.5,6.0,2415000.0,1.0,1510000000.0,136.817,2008.5,4.0
광진구,2021,42.0,1080000000.0,0.0,139.54,2007.0,37.0,3180000.0,1.0,1950000000.0,139.54,2007.0,7.0
광진구,2021,43.0,841250000.0,0.0,141.66,2008.0,10.0,2500000.0,1.0,1530000000.0,142.431,2011.0,1.0
광진구,2021,44.0,1155000000.0,0.0,144.185,2002.5,4.0,,,1450000000.0,144.51,2003.0,3.0
광진구,2021,45.0,945000000.0,0.0,163.53,1997.0,109.0,2120000.0,1.0,2150000000.0,163.53,1997.0,31.0
구로구,2021,10.0,43830000.0,110000.0,29.38,2017.0,1140.0,140000.0,1.0,120000000.0,15.6,2013.0,253.0
구로구,2021,11.0,90000000.0,120000.0,36.87,2006.0,311.0,280000.0,1.0,275000000.0,36.88,2005.0,102.0
구로구,2021,12.0,66240000.0,130000.0,39.69,2014.0,354.0,220000.0,1.0,228000000.0,40.68,1995.0,41.0
구로구,2021,13.0,115500000.0,0.0,43.72,1995.5,108.0,600000.0,1.0,219000000.0,43.28,1997.0,63.0
구로구,2021,14.0,131110000.0,0.0,44.83,1998.0,259.0,440000.0,1.0,339000000.0,45.563,1998.0,129.0
구로구,2021,15.0,79140000.0,140000.0,49.85,2011.0,522.0,300000.0,1.0,346000000.0,49.94,2018.0,108.0
구로구,2021,16.0,230000000.0,0.0,52.45,1987.0,134.0,680000.0,1.0,500000000.0,53.03,1998.0,51.0
구로구,2021,17.0,250000000.0,0.0,56.19,1992.0,206.0,410000.0,1.0,599500000.0,56.072998,1992.0,64.0
구로구,2021,18.0,200000000.0,0.0,59.88,2003.0,2258.0,340000.0,1.0,640000000.0,59.88,1999.0,615.0
구로구,2021,19.0,299000000.0,0.0,64.23,1989.0,129.0,700000.0,1.0,657500000.0,64.125,1992.0,40.0
