opratDate,destination_station,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,15,1,588.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,30,7,565.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,30,1,603.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,45,1,589.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,00,2,529.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,00,2,496.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,15,1,599.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,30,2,647.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,00,1,580.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,15,2,554.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,30,4,605.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,45,1,532.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,06,15,1,409.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,06,30,3,287.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,00,1,342.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,15,2,342.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,30,3,353.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,45,3,367.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,00,1,467.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,15,7,382.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,30,5,415.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,45,7,247.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,00,4,329.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,15,8,281.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,30,3,306.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,45,5,412.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,00,1,368.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,15,3,307.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,30,1,328.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,45,3,432.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,00,4,309.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,15,4,376.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,30,4,288.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,45,6,399.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,00,11,424.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,15,9,412.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,30,2,444.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016900,혜화동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,45,10,381.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,07,15,2,165.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,07,30,1,192.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,07,45,1,178.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,08,30,1,81.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,09,15,1,160.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,09,30,3,214.0
