aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
,남산센트럴자이,2009,개인,,,"187,000",10,1,2026,중개거래,서울 중구,135.533,13,306,N,,11140,개인,충무로4가,중구
,LIG서울역리가,2012,개인,,,"167,000",9,1,2026,중개거래,서울 중구,84.9581,1,231,N,,11140,개인,만리동1가,중구
,롯데캐슬,2008,개인,,,"91,000",8,1,2026,중개거래,서울 중구,59.94,33,2545,N,,11140,개인,황학동,중구
,한진해모로,2001,개인,,,"94,000",7,1,2026,중개거래,서울 성동구,59.76,5,845,N,,11140,개인,신당동,중구
,약수하이츠,1999,개인,,,"130,000",6,1,2026,중개거래,"서울 서초구, 서울 중구",57.63,11,842,N,,11140,개인,신당동,중구
,롯데캐슬,2008,개인,,,"91,000",6,1,2026,중개거래,서울 중구,59.94,17,2545,N,,11140,개인,황학동,중구
,SK리더스뷰남산,2010,개인,,,"202,000",2,1,2026,중개거래,서울 중구,122.7,20,206,N,,11140,개인,회현동1가,중구
,남산타운,2002,개인,,,"170,000",3,1,2026,중개거래,서울 중구,114.88,2,844,N,,11140,개인,신당동,중구
,힐스테이트세운센트럴2단지,2023,개인,,,"103,000",7,2,2026,중개거래,서울 중구,49.7623,4,280,N,,11140,개인,입정동,중구
,롯데캐슬,2008,개인,,,"115,000",11,2,2026,중개거래,서울 중구,84.89,32,2545,N,,11140,개인,황학동,중구
,롯데캐슬,2008,개인,,,"98,000",6,2,2026,중개거래,서울 성동구,59.94,30,2545,N,,11140,개인,황학동,중구
,충무로엘크루메크로시티2차,2016,개인,,,"23,000",10,2,2026,중개거래,서울 중구,22.75,20,36-2,N,,11140,개인,충무로5가,중구
,롯데캐슬,2008,개인,,,"98,000",4,2,2026,중개거래,서울 중구,59.94,23,2545,N,,11140,개인,황학동,중구
,남산센트럴자이,2009,개인,,,"190,000",6,2,2026,중개거래,서울 중구,128.952,20,306,N,,11140,개인,충무로4가,중구
,롯데캐슬,2008,개인,,,"103,000",7,2,2026,중개거래,서울 성동구,59.91,20,2545,N,,11140,개인,황학동,중구
,삼성사이버빌리지,2001,개인,,,"173,000",6,2,2026,중개거래,경기 김포시,84.93,8,200,N,,11140,개인,중림동,중구
,약수하이츠,1999,개인,,,"118,000",4,2,2026,중개거래,서울 중구,57.63,7,842,N,,11140,개인,신당동,중구
,DUO302,2014,개인,,,"16,000",4,2,2026,중개거래,서울 중구,15.97,18,819,N,,11140,개인,황학동,중구
,롯데캐슬,2008,개인,,,"98,000",3,2,2026,중개거래,"서울 성동구, 서울 중구",59.91,25,2545,N,,11140,개인,황학동,중구
,현대,1993,개인,,,"120,000",1,2,2026,중개거래,서울 중구,79.11,2,840,N,,11140,개인,신당동,중구
,신동아,1984,개인,,,"336,000",17,1,2026,중개거래,서울 용산구,95.66,1,241-21,N,,11170,개인,서빙고동,용산구
,삼성래미안,2001,개인,,,"185,000",28,1,2026,중개거래,서울 용산구,84.69,14,23,N,,11170,개인,도원동,용산구
105동,나인원한남,2019,개인,,,"1,404,000",12,1,2026,직거래,,244.3478,5,829,N,26.02.10,11170,개인,한남동,용산구
,삼성래미안,2001,개인,26.02.11,O,"185,000",13,1,2026,중개거래,서울 용산구,84.69,14,23,N,,11170,개인,도원동,용산구
,산호,1977,개인,,,"248,500",19,1,2026,중개거래,"서울 서초구, 서울 용산구",103.67,2,118-16,N,,11170,개인,원효로4가,용산구
,한남동리첸시아,2004,개인,,,"129,000",24,1,2026,중개거래,서울 용산구,72.06,11,72-1,N,,11170,개인,한남동,용산구
,금호베스트빌1,2002,개인,,,"205,500",17,1,2026,중개거래,서울 용산구,84.95,10,296,N,,11170,개인,서빙고동,용산구
,한남아이파크애비뉴,2017,개인,,,"95,000",14,1,2026,중개거래,서울 용산구,45.717,4,828,N,,11170,개인,한남동,용산구
,삼성래미안,2001,개인,,,"156,000",25,1,2026,중개거래,서울 용산구,59.94,14,23,N,,11170,개인,도원동,용산구
,센트럴파크,2020,개인,,,"395,000",31,1,2026,중개거래,서울 용산구,114.5011,21,98,N,,11170,개인,한강로3가,용산구
,리버탑,2001,개인,,,"169,000",6,1,2026,중개거래,서울 용산구,84.77,10,802,N,,11170,개인,한남동,용산구
,삼라마이다스빌2,2004,개인,,,"88,000",30,1,2026,중개거래,서울 용산구,66.72,8,40-19,N,,11170,개인,문배동,용산구
,대림,1994,개인,,,"197,000",17,1,2026,중개거래,서울 강남구,59.22,17,395,N,,11170,개인,이촌동,용산구
,삼성래미안,2001,개인,,,"180,000",28,1,2026,중개거래,서울 용산구,84.69,17,23,N,,11170,개인,도원동,용산구
,한성1,1974,개인,,,"98,000",31,1,2026,중개거래,서울 용산구,64.26,1,29-4,N,,11170,개인,한남동,용산구
,한가람,1998,개인,,,"253,000",31,1,2026,중개거래,서울 용산구,59.88,10,404,N,,11170,개인,이촌동,용산구
,LG한강자이,2003,개인,,,"630,000",30,1,2026,중개거래,"대구 서구, 서울 용산구",202.32,15,430,N,,11170,개인,이촌동,용산구
,리버힐삼성,2001,개인,,,"178,000",28,1,2026,중개거래,서울 용산구,84.98,18,193,N,,11170,개인,산천동,용산구
,세인트힐,2004,개인,,,"145,000",28,1,2026,중개거래,서울 용산구,175.26,4,5-17,N,26.02.04,11170,개인,효창동,용산구
,현대맨숀,1974,개인,,,"337,990",23,1,2026,중개거래,서울 용산구,146.38,2,301-160,N,,11170,개인,이촌동,용산구
,산호,1977,개인,,,"237,000",27,1,2026,중개거래,서울 용산구,103.67,1,118-16,N,,11170,개인,원효로4가,용산구
,퍼시픽맨션골드,2003,개인,,,"167,000",26,1,2026,중개거래,"서울 강남구, 서울 서초구",167.58,3,352,N,,11170,개인,이태원동,용산구
,신동아,1984,개인,,,"485,000",9,1,2026,중개거래,"서울 강남구, 서울 용산구",140.81,12,241-21,N,,11170,개인,서빙고동,용산구
,한강(대우),2000,개인,,,"275,000",12,1,2026,중개거래,서울 강남구,84.98,19,415,N,,11170,개인,이촌동,용산구
,한가람,1998,개인,,,"349,000",22,1,2026,중개거래,서울 용산구,114.96,18,404,N,,11170,개인,이촌동,용산구
,삼라마이다스빌2,2004,개인,,,"106,500",26,1,2026,중개거래,서울 용산구,84.84,14,40-19,N,,11170,개인,문배동,용산구
,한남아이파크애비뉴,2017,개인,,,"104,000",24,1,2026,중개거래,서울 용산구,49.6971,16,828,N,,11170,개인,한남동,용산구
,산호,1977,개인,,,"240,000",17,1,2026,중개거래,서울 용산구,78.06,4,118-16,N,,11170,개인,원효로4가,용산구
,성아1,1970,개인,,,"85,000",26,1,2026,중개거래,서울 송파구,101.62,8,263-10,N,,11170,개인,한남동,용산구
,용산파크타워(24-1),2009,개인,,,"385,000",24,1,2026,중개거래,서울 용산구,140.31,20,24-1,N,,11170,개인,용산동5가,용산구
,래미안첼리투스,2015,개인,,,"444,998",12,1,2026,중개거래,서울 용산구,124.02,2,436,N,,11170,개인,이촌동,용산구
,SK청암대(64-1),2001,개인,,,"220,000",22,1,2026,중개거래,서울 용산구,244.93,11,64-1,N,,11170,개인,청암동,용산구
,한강(대우),2000,개인,,,"337,400",6,1,2026,중개거래,서울 용산구,135.5,11,415,N,,11170,개인,이촌동,용산구
