C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
소득구간별,1천만원 미만,1,10,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,0.9,10,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,0.9,10,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,1.4,20,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,1.3,20,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,1.2,20,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,1,30,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,0.9,30,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,0.9,30,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,0.9,40,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,0.8,40,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,0.6,40,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,1.2,50,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,1,50,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,0.9,50,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
