구,구코드,년월,아파트명,법정동,전용면적_m2,층,보증금_만원,월세_만원,계약유형,계약일,건축년도
중구,11140,202103,삼정아트테라스정동,정동,17.7034,6,3000,90,,2021-03-31,2020
중구,11140,202103,남산타운,신당동,84.88,4,72000,0,,2021-03-25,2002
중구,11140,202103,서울역센트럴자이,만리동2가,59.94,21,94000,0,,2021-03-01,2017
중구,11140,202103,삼성사이버빌리지,중림동,84.95,18,20000,150,,2021-03-26,2001
중구,11140,202103,탑힐,신당동,39.72,3,17000,0,,2021-03-26,2002
중구,11140,202103,청계리버팰리스A,황학동,26.14,7,25700,0,,2021-03-22,2019
중구,11140,202103,남산타운,신당동,84.88,15,14000,150,,2021-03-18,2002
중구,11140,202103,남산타운,신당동,59.94,2,10000,90,,2021-03-06,2002
중구,11140,202103,남산타운,신당동,84.88,4,72000,0,,2021-03-25,2002
중구,11140,202103,래미안하이베르,신당동,59.95,4,5000,170,,2021-03-16,2011
중구,11140,202103,리하우스(LEEHAUS),중림동,30.357,10,10000,56,,2021-03-03,2011
중구,11140,202103,쌍용남산플래티넘,회현동2가,166.24,10,80000,140,,2021-03-23,2010
중구,11140,202103,신당파인힐하나유보라,신당동,30.4927,17,4000,72,,2021-03-16,2019
중구,11140,202103,남산타운,신당동,59.94,6,10000,160,,2021-03-06,2002
중구,11140,202103,신당아르브,신당동,18.08,7,13650,0,,2021-03-27,2014
중구,11140,202103,이지마루오장,오장동,22.46,9,27000,0,,2021-03-29,2018
중구,11140,202103,서울역센트럴자이,만리동2가,72.97,14,25000,180,,2021-03-16,2017
중구,11140,202103,더플레이스충정로,중림동,15.12,4,1000,64,,2021-03-25,2012
중구,11140,202103,롯데캐슬,황학동,59.91,27,5000,137,,2021-03-03,2008
중구,11140,202103,약수하이츠,신당동,57.63,11,48000,0,,2021-03-27,1999
중구,11140,202103,(73-1),황학동,19.15,7,8000,30,,2021-03-24,1999
중구,11140,202103,롯데캐슬,황학동,84.89,24,72000,0,,2021-03-31,2008
중구,11140,202103,약수하이츠,신당동,57.63,10,50000,0,,2021-03-13,1999
중구,11140,202103,우일타운,흥인동,69.39,18,47000,0,,2021-03-19,1994
중구,11140,202103,충무로헤센스마트,충무로5가,19.76,5,23000,0,,2021-03-31,2018
중구,11140,202103,남산타운,신당동,114.88,13,57500,0,,2021-03-12,2002
중구,11140,202103,(73-1),황학동,15.45,9,5000,25,,2021-03-09,1999
중구,11140,202103,바비엥3,순화동,65.71,15,41475,0,,2021-03-31,2006
중구,11140,202103,래미안하이베르,신당동,84.85,15,86000,0,,2021-03-16,2011
중구,11140,202103,동대문솔하임,흥인동,19.6,19,20000,0,,2021-03-27,2016
중구,11140,202103,청구e편한세상,신당동,84.95,12,43000,0,,2021-03-26,2011
중구,11140,202103,삼성사이버빌리지,중림동,84.95,16,5000,158,,2021-03-31,2001
중구,11140,202103,삼성사이버빌리지(임대),중림동,31.59,15,1,17,,2021-03-12,2001
중구,11140,202103,롯데캐슬,황학동,114.9,15,68200,0,,2021-03-30,2008
중구,11140,202103,DUO302,황학동,15.97,11,1000,65,,2021-03-13,2014
중구,11140,202103,충무로엘크루메크로시티2차,충무로5가,22.75,17,18500,0,,2021-03-30,2016
중구,11140,202103,삼정아트테라스정동,정동,14.2664,5,5000,50,,2021-03-22,2020
중구,11140,202103,삼성사이버빌리지,중림동,76.83,1,58000,0,,2021-03-29,2001
중구,11140,202103,남산타운,신당동,84.88,10,80000,0,,2021-03-15,2002
중구,11140,202103,신당푸르지오,신당동,84.39,6,50400,0,,2021-03-27,2005
중구,11140,202103,삼성,신당동,84.96,23,70000,0,,2021-03-22,1999
중구,11140,202103,남산타운(임대),신당동,32.76,1,1265,16,,2021-03-29,2002
중구,11140,202103,롯데캐슬,황학동,59.91,11,58000,0,,2021-03-27,2008
중구,11140,202103,남산타운,신당동,59.94,3,60000,0,,2021-03-04,2002
중구,11140,202103,남산센트럴자이,충무로4가,82.413,8,56000,0,,2021-03-27,2009
중구,11140,202103,더플레이스충정로,중림동,19.95,5,1000,70,,2021-03-25,2012
중구,11140,202103,청계리버팰리스A,황학동,26.14,11,26200,0,,2021-03-28,2019
중구,11140,202103,순화동더샵,순화동,64.01,13,40750,0,,2021-03-07,2007
중구,11140,202103,삼정아트테라스정동,정동,18.6574,6,30000,0,,2021-03-06,2020
중구,11140,202103,SK리더스뷰남산,회현동1가,205.62,4,140000,0,,2021-03-12,2010
중구,11140,202103,남산타운,신당동,59.94,3,42000,0,,2021-03-03,2002
중구,11140,202103,청구e편한세상,신당동,59.89,13,60000,0,,2021-03-26,2011
중구,11140,202103,탑힐,신당동,39.72,3,17000,0,,2021-03-26,2002
중구,11140,202103,덕수궁롯데캐슬,순화동,56.2897,3,20000,100,,2021-03-15,2016
중구,11140,202103,위너빌(Winnervill),황학동,29.79,4,21000,0,,2021-03-24,2018
중구,11140,202103,오렌지카운티을지로,오장동,14.54,8,19600,0,,2021-03-05,2020
중구,11140,202103,프라임1,신당동,82.17,3,35000,0,,2021-03-10,2003
중구,11140,202103,오렌지카운티을지로,오장동,15.79,15,20000,0,,2021-03-25,2020
중구,11140,202103,평화,회현동1가,58.02,3,1000,80,,2021-03-20,1976
중구,11140,202103,충무로엘크루메크로시티2차,충무로5가,22.75,11,18500,0,,2021-03-24,2016
중구,11140,202103,한양I-Class,황학동,16.37,13,2000,53,,2021-03-24,2013
중구,11140,202103,삼성사이버빌리지(임대),중림동,31.59,8,4511,0,,2021-03-24,2001
중구,11140,202103,약수하이츠,신당동,57.63,8,42000,0,,2021-03-13,1999
중구,11140,202103,롯데캐슬,황학동,59.94,21,5000,135,,2021-03-04,2008
중구,11140,202103,삼정아트테라스정동,정동,14.2664,8,19000,0,,2021-03-23,2020
중구,11140,202103,삼성사이버빌리지,중림동,84.93,10,54600,0,,2021-03-23,2001
중구,11140,202103,한양I-Class,황학동,24.67,15,8000,0,,2021-03-04,2013
중구,11140,202103,오장동오팰리오,오장동,29.48,8,37000,0,,2021-03-09,2021
중구,11140,202103,오장동오팰리오,오장동,29.2,13,37000,0,,2021-03-13,2021
중구,11140,202103,남산타운,신당동,59.94,17,5000,130,,2021-03-20,2002
중구,11140,202103,삼정아트테라스정동,정동,14.2664,8,5000,50,,2021-03-13,2020
중구,11140,202103,스위스빌라,신당동,38.53,3,12000,0,,2021-03-19,2001
중구,11140,202103,삼정아트테라스정동,정동,18.0824,4,25000,0,,2021-03-19,2020
중구,11140,202103,삼성사이버빌리지(임대),중림동,31.59,8,3615,5,,2021-03-19,2001
중구,11140,202103,삼성사이버빌리지,중림동,84.95,9,60000,35,,2021-03-19,2001
중구,11140,202103,삼정아트테라스정동,정동,18.0824,3,25000,0,,2021-03-19,2020
중구,11140,202103,남산타운,신당동,114.88,2,63000,0,,2021-03-18,2002
중구,11140,202103,삼성사이버빌리지(임대),중림동,31.59,16,3974,3,,2021-03-18,2001
중구,11140,202103,인현상가/신성아파트,인현동2가,49.22,9,1000,60,,2021-03-18,1968
중구,11140,202103,골드캐슬Ⅲ,황학동,32.75,13,26000,0,,2021-03-16,2017
중구,11140,202103,롯데캐슬,황학동,59.91,21,45000,0,,2021-03-12,2008
