범죄대분류,범죄중분류,gu_raw,crime_count,gu_std
폭력범죄,폭력행위등,서울 도봉구,20,도봉구
폭력범죄,공갈,서울 도봉구,15,도봉구
폭력범죄,손괴,서울 도봉구,180,도봉구
지능범죄,직무유기,서울 도봉구,3,도봉구
지능범죄,직권남용,서울 도봉구,5,도봉구
지능범죄,증수뢰,서울 도봉구,1,도봉구
지능범죄,통화,서울 도봉구,3,도봉구
지능범죄,문서/인장,서울 도봉구,38,도봉구
지능범죄,유가증권인지,서울 도봉구,0,도봉구
지능범죄,사기,서울 도봉구,1823,도봉구
지능범죄,횡령,서울 도봉구,245,도봉구
지능범죄,배임,서울 도봉구,9,도봉구
풍속범죄,성풍속범죄,서울 도봉구,82,도봉구
풍속범죄,도박범죄,서울 도봉구,12,도봉구
특별경제범죄,특별경제범죄,서울 도봉구,489,도봉구
마약범죄,마약범죄,서울 도봉구,40,도봉구
보건범죄,보건범죄,서울 도봉구,31,도봉구
환경범죄,환경범죄,서울 도봉구,1,도봉구
교통범죄,교통범죄,서울 도봉구,461,도봉구
노동범죄,노동범죄,서울 도봉구,1,도봉구
안보범죄,안보범죄,서울 도봉구,0,도봉구
선거범죄,선거범죄,서울 도봉구,6,도봉구
병역범죄,병역범죄,서울 도봉구,46,도봉구
기타범죄,기타범죄,서울 도봉구,1316,도봉구
강력범죄,살인기수,서울 노원구,3,노원구
강력범죄,살인미수등,서울 노원구,4,노원구
강력범죄,강도,서울 노원구,3,노원구
강력범죄,강간,서울 노원구,29,노원구
강력범죄,유사강간,서울 노원구,6,노원구
강력범죄,강제추행,서울 노원구,108,노원구
강력범죄,기타 강간/강제추행등,서울 노원구,0,노원구
강력범죄,방화,서울 노원구,9,노원구
절도범죄,절도범죄,서울 노원구,1506,노원구
폭력범죄,상해,서울 노원구,68,노원구
폭력범죄,폭행,서울 노원구,885,노원구
폭력범죄,체포/감금,서울 노원구,2,노원구
폭력범죄,협박,서울 노원구,164,노원구
폭력범죄,약취/유인,서울 노원구,3,노원구
폭력범죄,폭력행위등,서울 노원구,26,노원구
폭력범죄,공갈,서울 노원구,45,노원구
폭력범죄,손괴,서울 노원구,241,노원구
지능범죄,직무유기,서울 노원구,5,노원구
지능범죄,직권남용,서울 노원구,6,노원구
지능범죄,증수뢰,서울 노원구,4,노원구
지능범죄,통화,서울 노원구,9,노원구
지능범죄,문서/인장,서울 노원구,59,노원구
지능범죄,유가증권인지,서울 노원구,0,노원구
지능범죄,사기,서울 노원구,2254,노원구
지능범죄,횡령,서울 노원구,487,노원구
지능범죄,배임,서울 노원구,15,노원구
풍속범죄,성풍속범죄,서울 노원구,175,노원구
풍속범죄,도박범죄,서울 노원구,26,노원구
특별경제범죄,특별경제범죄,서울 노원구,809,노원구
마약범죄,마약범죄,서울 노원구,76,노원구
보건범죄,보건범죄,서울 노원구,43,노원구
환경범죄,환경범죄,서울 노원구,2,노원구
교통범죄,교통범죄,서울 노원구,918,노원구
노동범죄,노동범죄,서울 노원구,1,노원구
안보범죄,안보범죄,서울 노원구,0,노원구
선거범죄,선거범죄,서울 노원구,13,노원구
병역범죄,병역범죄,서울 노원구,80,노원구
기타범죄,기타범죄,서울 노원구,1921,노원구
강력범죄,살인기수,서울 은평구,6,은평구
강력범죄,살인미수등,서울 은평구,3,은평구
강력범죄,강도,서울 은평구,1,은평구
강력범죄,강간,서울 은평구,37,은평구
강력범죄,유사강간,서울 은평구,1,은평구
강력범죄,강제추행,서울 은평구,93,은평구
강력범죄,기타 강간/강제추행등,서울 은평구,0,은평구
강력범죄,방화,서울 은평구,10,은평구
절도범죄,절도범죄,서울 은평구,1520,은평구
폭력범죄,상해,서울 은평구,111,은평구
폭력범죄,폭행,서울 은평구,813,은평구
폭력범죄,체포/감금,서울 은평구,4,은평구
폭력범죄,협박,서울 은평구,181,은평구
폭력범죄,약취/유인,서울 은평구,1,은평구
폭력범죄,폭력행위등,서울 은평구,18,은평구
폭력범죄,공갈,서울 은평구,71,은평구
폭력범죄,손괴,서울 은평구,360,은평구
지능범죄,직무유기,서울 은평구,3,은평구
지능범죄,직권남용,서울 은평구,8,은평구
지능범죄,증수뢰,서울 은평구,1,은평구
지능범죄,통화,서울 은평구,4,은평구
지능범죄,문서/인장,서울 은평구,80,은평구
지능범죄,유가증권인지,서울 은평구,1,은평구
지능범죄,사기,서울 은평구,2873,은평구
지능범죄,횡령,서울 은평구,471,은평구
지능범죄,배임,서울 은평구,26,은평구
풍속범죄,성풍속범죄,서울 은평구,158,은평구
풍속범죄,도박범죄,서울 은평구,27,은평구
특별경제범죄,특별경제범죄,서울 은평구,695,은평구
마약범죄,마약범죄,서울 은평구,51,은평구
보건범죄,보건범죄,서울 은평구,47,은평구
환경범죄,환경범죄,서울 은평구,0,은평구
교통범죄,교통범죄,서울 은평구,968,은평구
노동범죄,노동범죄,서울 은평구,1,은평구
안보범죄,안보범죄,서울 은평구,1,은평구
선거범죄,선거범죄,서울 은평구,16,은평구
병역범죄,병역범죄,서울 은평구,58,은평구
기타범죄,기타범죄,서울 은평구,1989,은평구
강력범죄,살인기수,서울 서대문구,1,서대문구
강력범죄,살인미수등,서울 서대문구,2,서대문구
강력범죄,강도,서울 서대문구,0,서대문구
강력범죄,강간,서울 서대문구,40,서대문구
강력범죄,유사강간,서울 서대문구,7,서대문구
강력범죄,강제추행,서울 서대문구,83,서대문구
강력범죄,기타 강간/강제추행등,서울 서대문구,1,서대문구
강력범죄,방화,서울 서대문구,2,서대문구
절도범죄,절도범죄,서울 서대문구,1012,서대문구
폭력범죄,상해,서울 서대문구,54,서대문구
폭력범죄,폭행,서울 서대문구,495,서대문구
폭력범죄,체포/감금,서울 서대문구,5,서대문구
폭력범죄,협박,서울 서대문구,106,서대문구
폭력범죄,약취/유인,서울 서대문구,3,서대문구
폭력범죄,폭력행위등,서울 서대문구,9,서대문구
폭력범죄,공갈,서울 서대문구,18,서대문구
폭력범죄,손괴,서울 서대문구,210,서대문구
지능범죄,직무유기,서울 서대문구,3,서대문구
지능범죄,직권남용,서울 서대문구,8,서대문구
지능범죄,증수뢰,서울 서대문구,3,서대문구
지능범죄,통화,서울 서대문구,3,서대문구
지능범죄,문서/인장,서울 서대문구,62,서대문구
지능범죄,유가증권인지,서울 서대문구,0,서대문구
지능범죄,사기,서울 서대문구,2043,서대문구
지능범죄,횡령,서울 서대문구,446,서대문구
지능범죄,배임,서울 서대문구,15,서대문구
풍속범죄,성풍속범죄,서울 서대문구,130,서대문구
풍속범죄,도박범죄,서울 서대문구,23,서대문구
특별경제범죄,특별경제범죄,서울 서대문구,511,서대문구
마약범죄,마약범죄,서울 서대문구,49,서대문구
보건범죄,보건범죄,서울 서대문구,45,서대문구
환경범죄,환경범죄,서울 서대문구,0,서대문구
교통범죄,교통범죄,서울 서대문구,631,서대문구
노동범죄,노동범죄,서울 서대문구,0,서대문구
안보범죄,안보범죄,서울 서대문구,2,서대문구
선거범죄,선거범죄,서울 서대문구,10,서대문구
병역범죄,병역범죄,서울 서대문구,57,서대문구
기타범죄,기타범죄,서울 서대문구,1364,서대문구
강력범죄,살인기수,서울 마포구,1,마포구
강력범죄,살인미수등,서울 마포구,3,마포구
강력범죄,강도,서울 마포구,4,마포구
강력범죄,강간,서울 마포구,89,마포구
강력범죄,유사강간,서울 마포구,23,마포구
강력범죄,강제추행,서울 마포구,391,마포구
강력범죄,기타 강간/강제추행등,서울 마포구,1,마포구
강력범죄,방화,서울 마포구,6,마포구
절도범죄,절도범죄,서울 마포구,1469,마포구
폭력범죄,상해,서울 마포구,140,마포구
폭력범죄,폭행,서울 마포구,1179,마포구
폭력범죄,체포/감금,서울 마포구,8,마포구
폭력범죄,협박,서울 마포구,196,마포구
폭력범죄,약취/유인,서울 마포구,1,마포구
폭력범죄,폭력행위등,서울 마포구,41,마포구
폭력범죄,공갈,서울 마포구,39,마포구
폭력범죄,손괴,서울 마포구,308,마포구
지능범죄,직무유기,서울 마포구,7,마포구
지능범죄,직권남용,서울 마포구,16,마포구
지능범죄,증수뢰,서울 마포구,8,마포구
지능범죄,통화,서울 마포구,7,마포구
지능범죄,문서/인장,서울 마포구,137,마포구
지능범죄,유가증권인지,서울 마포구,0,마포구
지능범죄,사기,서울 마포구,2624,마포구
지능범죄,횡령,서울 마포구,1013,마포구
지능범죄,배임,서울 마포구,43,마포구
풍속범죄,성풍속범죄,서울 마포구,274,마포구
풍속범죄,도박범죄,서울 마포구,28,마포구
특별경제범죄,특별경제범죄,서울 마포구,991,마포구
마약범죄,마약범죄,서울 마포구,119,마포구
보건범죄,보건범죄,서울 마포구,202,마포구
환경범죄,환경범죄,서울 마포구,2,마포구
교통범죄,교통범죄,서울 마포구,1402,마포구
노동범죄,노동범죄,서울 마포구,1,마포구
안보범죄,안보범죄,서울 마포구,3,마포구
선거범죄,선거범죄,서울 마포구,23,마포구
병역범죄,병역범죄,서울 마포구,81,마포구
기타범죄,기타범죄,서울 마포구,2608,마포구
강력범죄,살인기수,서울 양천구,3,양천구
강력범죄,살인미수등,서울 양천구,1,양천구
강력범죄,강도,서울 양천구,1,양천구
강력범죄,강간,서울 양천구,16,양천구
강력범죄,유사강간,서울 양천구,3,양천구
강력범죄,강제추행,서울 양천구,85,양천구
강력범죄,기타 강간/강제추행등,서울 양천구,1,양천구
강력범죄,방화,서울 양천구,9,양천구
절도범죄,절도범죄,서울 양천구,1513,양천구
폭력범죄,상해,서울 양천구,84,양천구
폭력범죄,폭행,서울 양천구,733,양천구
폭력범죄,체포/감금,서울 양천구,3,양천구
폭력범죄,협박,서울 양천구,158,양천구
폭력범죄,약취/유인,서울 양천구,5,양천구
폭력범죄,폭력행위등,서울 양천구,27,양천구
폭력범죄,공갈,서울 양천구,27,양천구
폭력범죄,손괴,서울 양천구,327,양천구
지능범죄,직무유기,서울 양천구,6,양천구
지능범죄,직권남용,서울 양천구,12,양천구
